time_stamp,avg_hr
Mon Nov 14 2022 13:59:00 GMT+0100 (Central European Standard Time),77
Mon Nov 14 2022 14:59:00 GMT+0100 (Central European Standard Time),75
Mon Nov 14 2022 15:58:00 GMT+0100 (Central European Standard Time),78
Mon Nov 14 2022 16:59:00 GMT+0100 (Central European Standard Time),80
Mon Nov 14 2022 17:59:00 GMT+0100 (Central European Standard Time),82
Mon Nov 14 2022 18:59:00 GMT+0100 (Central European Standard Time),91
Mon Nov 14 2022 19:59:00 GMT+0100 (Central European Standard Time),77
Mon Nov 14 2022 20:59:00 GMT+0100 (Central European Standard Time),89
Mon Nov 14 2022 21:58:00 GMT+0100 (Central European Standard Time),77
Mon Nov 14 2022 22:59:00 GMT+0100 (Central European Standard Time),73
Mon Nov 14 2022 23:59:59 GMT+0100 (Central European Standard Time),67
Tue Nov 15 2022 00:59:00 GMT+0100 (Central European Standard Time),66
Tue Nov 15 2022 01:59:00 GMT+0100 (Central European Standard Time),66
Tue Nov 15 2022 02:58:00 GMT+0100 (Central European Standard Time),63
Tue Nov 15 2022 03:59:00 GMT+0100 (Central European Standard Time),63
Tue Nov 15 2022 04:59:00 GMT+0100 (Central European Standard Time),62
Tue Nov 15 2022 05:59:00 GMT+0100 (Central European Standard Time),65
Tue Nov 15 2022 06:59:00 GMT+0100 (Central European Standard Time),63
Tue Nov 15 2022 07:59:00 GMT+0100 (Central European Standard Time),64
Tue Nov 15 2022 08:59:00 GMT+0100 (Central European Standard Time),73
Tue Nov 15 2022 09:59:00 GMT+0100 (Central European Standard Time),78
Tue Nov 15 2022 10:59:00 GMT+0100 (Central European Standard Time),66
Tue Nov 15 2022 11:59:00 GMT+0100 (Central European Standard Time),75
Tue Nov 15 2022 12:59:00 GMT+0100 (Central European Standard Time),89
Tue Nov 15 2022 13:59:00 GMT+0100 (Central European Standard Time),81
Tue Nov 15 2022 14:59:00 GMT+0100 (Central European Standard Time),72
Tue Nov 15 2022 15:59:00 GMT+0100 (Central European Standard Time),73
Tue Nov 15 2022 16:59:00 GMT+0100 (Central European Standard Time),69
Tue Nov 15 2022 17:58:00 GMT+0100 (Central European Standard Time),74
Tue Nov 15 2022 18:59:00 GMT+0100 (Central European Standard Time),87
Tue Nov 15 2022 19:59:00 GMT+0100 (Central European Standard Time),76
Tue Nov 15 2022 20:59:00 GMT+0100 (Central European Standard Time),76
Tue Nov 15 2022 21:55:00 GMT+0100 (Central European Standard Time),71
Tue Nov 15 2022 22:58:00 GMT+0100 (Central European Standard Time),71
Tue Nov 15 2022 23:59:59 GMT+0100 (Central European Standard Time),64
Wed Nov 16 2022 00:59:00 GMT+0100 (Central European Standard Time),62
Wed Nov 16 2022 01:59:00 GMT+0100 (Central European Standard Time),63
Wed Nov 16 2022 02:59:00 GMT+0100 (Central European Standard Time),62
Wed Nov 16 2022 03:59:00 GMT+0100 (Central European Standard Time),65
Wed Nov 16 2022 04:59:00 GMT+0100 (Central European Standard Time),66
Wed Nov 16 2022 05:58:00 GMT+0100 (Central European Standard Time),63
Wed Nov 16 2022 06:59:00 GMT+0100 (Central European Standard Time),63
Wed Nov 16 2022 07:59:00 GMT+0100 (Central European Standard Time),70
Wed Nov 16 2022 08:59:00 GMT+0100 (Central European Standard Time),74
Wed Nov 16 2022 09:59:00 GMT+0100 (Central European Standard Time),73
Wed Nov 16 2022 10:58:00 GMT+0100 (Central European Standard Time),70
Wed Nov 16 2022 11:59:00 GMT+0100 (Central European Standard Time),68
Wed Nov 16 2022 12:58:00 GMT+0100 (Central European Standard Time),111
Wed Nov 16 2022 13:59:00 GMT+0100 (Central European Standard Time),87
Wed Nov 16 2022 14:59:00 GMT+0100 (Central European Standard Time),76
Wed Nov 16 2022 15:59:00 GMT+0100 (Central European Standard Time),75
